top - 00:54:19 up  8:25,  2 users,  load average: 5.90, 4.74, 4.22
Tasks: 442 total,   1 running, 440 sleeping,   0 stopped,   1 zombie
%Cpu(s): 19.0 us,  5.8 sy,  0.0 ni, 73.0 id,  0.0 wa,  1.5 hi,  0.7 si,  0.0 st 
MiB Mem :  31867.4 total,   2200.2 free,  19525.3 used,  14626.9 buff/cache     
MiB Swap:  15933.5 total,  15933.4 free,      0.1 used.  12342.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    519 root       0 -20       0      0      0 I   0.0   0.0   0:04.10 [kworke+
    612 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [irq/95+
    627 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    628 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    629 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    630 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    663 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    664 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    665 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    666 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    667 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    668 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    669 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    670 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    671 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    672 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    673 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    674 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    675 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    676 root      20   0       0      0      0 S   0.0   0.0   0:00.01 [btrfs-+
    677 root      20   0       0      0      0 S   0.0   0.0   0:15.70 [btrfs-+
    771 root      20   0  318316 175644 173444 S   0.0   0.5   1:37.18 /usr/li+
    792 root      20   0   16612   7016   5960 S   0.0   0.0   0:00.08 /usr/li+
    796 root      20   0   18288   8660   7304 S   0.0   0.0   0:00.15 /usr/li+
    814 root      20   0   42888  17476   9380 S   0.0   0.1   0:15.78 /usr/li+
    818 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 [psimon]
    915 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    939 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [jbd2/n+
    941 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
   1024 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [irq/16+
   1036 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
   1039 root     -51   0       0      0      0 S   0.0   0.0   0:00.18 [irq/16+
   1040 root     -51   0       0      0      0 S   0.0   0.0   0:00.19 [irq/16+
   1041 root     -51   0       0      0      0 S   0.0   0.0   0:00.21 [irq/16+
   1042 root     -51   0       0      0      0 S   0.0   0.0   0:00.02 [irq/16+
   1043 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [irq/16+
   1044 root     -51   0       0      0      0 S   0.0   0.0   0:00.42 [irq/16+
   1045 root     -51   0       0      0      0 S   0.0   0.0   0:00.35 [irq/16+
   1046 root     -51   0       0      0      0 S   0.0   0.0   0:00.38 [irq/16+
   1047 root     -51   0       0      0      0 S   0.0   0.0   0:00.26 [irq/16+
   1048 root     -51   0       0      0      0 S   0.0   0.0   0:00.04 [irq/17+
   1049 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [irq/17+
   1050 root     -51   0       0      0      0 S   0.0   0.0   0:00.39 [irq/17+
   1051 root     -51   0       0      0      0 S   0.0   0.0   0:00.38 [irq/17+
   1052 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [irq/17+
   1060 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
   1073 systemd+  20   0   17176   8312   7204 S   0.0   0.0   0:15.06 /usr/li+
